Place,Time,Marking
IDLE(0),7.14,4
SENDING PACKET(0),7.2,16
LOOP(Q11),7.2,2
SENDING ACK(0),7.21,1
PACKET CHECK(0),7.21,4
IDLE(0),7.25,5
SENDING PACKET(0),7.28,17
IDLE(0),7.28,4
SENDING PACKET(0),7.29,18
LOOP(Q11),7.29,1
PACKET CHECK(0),7.37,5
LOOP(Q11),7.37,2
SENDING PACKET(0),7.37,17
SENDING ACK(0),7.45,2
PACKET CHECK(0),7.45,4
IDLE(0),7.47,5
ACK CHECK(0),7.53,7
LOOP(Q13),7.53,1
SENDING ACK(0),7.53,1
IDLE(0),7.53,6
SENDING PACKET(0),7.55,18
LOOP(Q11),7.55,1
SENDING PACKET(0),7.58,19
LOOP(Q13),7.58,0
IDLE(1),7.62,1
ACK CHECK(0),7.62,6
PACKET CHECK(0),7.66,5
LOOP(Q11),7.66,2
SENDING PACKET(0),7.66,18
SENDING PACKET(0),7.69,19
LOOP(Q11),7.69,1
IDLE(0),7.7,7
PACKET CHECK(1),7.76,1
LOOP(Q16),7.76,1
SENDING PACKET(1),7.76,8
SENDING PACKET(0),7.79,20
IDLE(0),7.79,6
IDLE(0),7.79,7
SENDING ACK(0),7.82,2
PACKET CHECK(0),7.82,4
SENDING ACK(1),7.86,2
PACKET CHECK(1),7.86,0
IDLE(0),7.87,8
PACKET CHECK(1),7.9,1
LOOP(Q16),7.9,2
SENDING PACKET(1),7.9,7
ACK CHECK(1),7.92,5
LOOP(Q18),7.92,1
SENDING ACK(1),7.92,1
SENDING PACKET(1),8.01,8
IDLE(1),8.01,0
SENDING PACKET(0),8.07,21
IDLE(0),8.07,7
IDLE(1),8.18,1
ACK CHECK(0),8.18,5
PACKET CHECK(0),8.18,5
LOOP(Q11),8.18,2
SENDING PACKET(0),8.18,20
SENDING PACKET(0),8.22,21
IDLE(0),8.22,6
SENDING PACKET(1),8.23,9
IDLE(1),8.23,0
IDLE(0),8.25,7
ACK CHECK(1),8.25,6
LOOP(Q18),8.25,2
SENDING ACK(1),8.25,0
IDLE(1),8.3,1
ACK CHECK(0),8.3,4
PACKET CHECK(0),8.35,6
LOOP(Q11),8.35,3
SENDING PACKET(0),8.35,20
SENDING PACKET(1),8.37,10
IDLE(1),8.37,0
SENDING PACKET(1),8.41,11
LOOP(Q16),8.41,1
IDLE(1),8.65,1
ACK CHECK(0),8.65,3
SENDING PACKET(1),8.69,12
SENDING PACKET(1),8.69,13
LOOP(Q18),8.69,1
SENDING ACK(1),8.73,1
PACKET CHECK(1),8.73,0
SENDING PACKET(0),8.73,21
IDLE(0),8.73,6
SENDING PACKET(0),8.73,22
IDLE(0),8.73,5
SENDING ACK(0),8.8,3
PACKET CHECK(0),8.8,5
PACKET CHECK(0),8.82,6
LOOP(Q11),8.82,4
SENDING PACKET(0),8.82,21
IDLE(1),8.91,2
ACK CHECK(0),8.91,2
ACK CHECK(0),8.94,3
LOOP(Q13),8.94,1
SENDING ACK(0),8.94,2
IDLE(0),8.95,6
SENDING PACKET(0),8.96,22
LOOP(Q11),8.96,3
IDLE(0),8.99,7
SENDING ACK(0),9.0,3
PACKET CHECK(0),9.0,5
IDLE(1),9.01,3
ACK CHECK(0),9.01,2
ACK CHECK(0),9.03,3
LOOP(Q13),9.03,2
SENDING ACK(0),9.03,2
PACKET CHECK(1),9.08,1
LOOP(Q16),9.08,2
SENDING PACKET(1),9.08,12
SENDING PACKET(0),9.1,23
LOOP(Q13),9.1,1
PACKET CHECK(0),9.1,6
LOOP(Q11),9.1,4
SENDING PACKET(0),9.1,22
SENDING ACK(1),9.11,2
PACKET CHECK(1),9.11,0
SENDING PACKET(1),9.12,13
LOOP(Q16),9.12,1
IDLE(1),9.16,4
ACK CHECK(0),9.16,2
SENDING PACKET(0),9.22,23
LOOP(Q11),9.22,3
SENDING PACKET(0),9.23,24
LOOP(Q13),9.23,0
PACKET CHECK(0),9.26,7
LOOP(Q11),9.26,4
SENDING PACKET(0),9.26,23
IDLE(0),9.3,8
IDLE(0),9.31,9
SENDING PACKET(1),9.31,14
SENDING PACKET(1),9.31,15
LOOP(Q18),9.31,0
IDLE(1),9.37,5
ACK CHECK(0),9.37,1
PACKET CHECK(0),9.38,8
LOOP(Q11),9.38,5
SENDING PACKET(0),9.38,22
PACKET CHECK(0),9.4,9
LOOP(Q11),9.4,6
SENDING PACKET(0),9.4,21
IDLE(0),9.42,10
IDLE(0),9.48,11
IDLE(0),9.48,12
SENDING PACKET(1),9.51,16
IDLE(1),9.51,4
ACK CHECK(1),9.53,7
LOOP(Q18),9.53,1
SENDING ACK(1),9.53,1
SENDING PACKET(1),9.53,17
LOOP(Q16),9.53,0
PACKET CHECK(1),9.53,1
LOOP(Q16),9.53,1
SENDING PACKET(1),9.53,16
SENDING PACKET(1),9.55,17
SENDING PACKET(1),9.55,18
LOOP(Q18),9.55,0
SENDING PACKET(0),9.62,22
IDLE(0),9.62,11
IDLE(1),9.65,5
ACK CHECK(0),9.65,0
IDLE(0),9.68,12
SENDING ACK(1),9.72,2
PACKET CHECK(1),9.72,0
IDLE(0),9.77,13
SENDING ACK(0),9.79,3
PACKET CHECK(0),9.79,8
ACK CHECK(1),9.81,8
LOOP(Q18),9.81,1
SENDING ACK(1),9.81,1
IDLE(0),9.82,14
ACK CHECK(1),9.87,9
LOOP(Q18),9.87,2
SENDING ACK(1),9.87,0
SENDING PACKET(0),9.87,23
IDLE(0),9.87,13
SENDING PACKET(1),9.88,19
IDLE(1),9.88,4
SENDING PACKET(1),9.92,20
IDLE(1),9.92,3
SENDING PACKET(1),9.92,21
IDLE(1),9.92,2
SENDING PACKET(0),9.95,24
IDLE(0),9.95,12
SENDING ACK(0),10.02,4
PACKET CHECK(0),10.02,7
PACKET CHECK(0),10.07,8
LOOP(Q11),10.07,7
SENDING PACKET(0),10.07,23
SENDING PACKET(1),10.12,22
IDLE(1),10.12,1
ACK CHECK(0),10.13,1
LOOP(Q13),10.13,1
SENDING ACK(0),10.13,3
IDLE(0),10.15,13
SENDING PACKET(0),10.24,24
LOOP(Q11),10.24,6
SENDING PACKET(0),10.24,25
IDLE(0),10.24,12
IDLE(0),10.24,13
PACKET CHECK(0),10.32,9
LOOP(Q11),10.32,7
SENDING PACKET(0),10.32,24
SENDING PACKET(1),10.33,23
LOOP(Q16),10.33,0
SENDING PACKET(0),10.38,25
LOOP(Q11),10.38,6
PACKET CHECK(1),10.43,1
LOOP(Q16),10.43,1
